loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,dti,delinq_2yrs,fico_score,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,purpose,addr_state,loan_status
10942, 60 months,18.51,280.9,D,D2,Manager,10+ years,OWN,33704,Verified,33.28,0,671,0,10,1,3564,47.8,19,0,0,major_purchase,CA,Default
9835, 36 months,14.55,338.77,B,B5,Nurse,5 years,MORTGAGE,61473,Verified,14.51,1,607,1,13,0,3209,14.9,18,4,0,debt_consolidation,FL,Fully Paid
7544, 36 months,11.41,248.45,F,F4,Sales,10+ years,MORTGAGE,74299,Not Verified,18.12,0,705,0,16,1,16351,59.3,21,0,0,debt_consolidation,NJ,Fully Paid
7356, 36 months,17.37,263.62,F,F1,Nurse,5 years,MORTGAGE,24283,Verified,29.85,0,650,0,12,0,2729,22.7,13,2,0,debt_consolidation,NC,Current
24651, 36 months,18.46,896.89,C,C5,Engineer,6 years,MORTGAGE,53149,Not Verified,15.34,0,726,4,10,0,20167,13.8,13,0,0,car,CA,Fully Paid
4161, 36 months,15.67,145.61,A,A1,Teacher,5 years,MORTGAGE,87224,Source Verified,27.75,0,719,0,10,0,20003,20.6,22,0,0,credit_card,PA,Fully Paid
6082, 36 months,16.43,215.12,C,C2,Teacher,1 year,MORTGAGE,65527,Not Verified,24.54,2,657,2,14,1,10441,57.7,17,3,0,major_purchase,AZ,Fully Paid
13523, 36 months,12.5,452.39,F,F5,Driver,9 years,OWN,20883,Source Verified,6.94,0,685,0,3,0,7043,37.5,15,2,0,debt_consolidation,MA,Current
6251, 36 months,20.77,234.77,B,B2,Analyst,9 years,MORTGAGE,44159,Source Verified,20.99,0,695,1,9,0,2453,24.8,16,1,0,debt_consolidation,PA,Fully Paid
10985, 36 months,12.92,369.7,A,A3,Analyst,1 year,MORTGAGE,42415,Source Verified,22.84,4,660,1,8,0,13210,29.8,16,0,0,credit_card,FL,Fully Paid
11460, 60 months,6.96,226.71,C,C4,Developer,10+ years,MORTGAGE,41411,Not Verified,5.93,0,699,1,17,0,9105,50.8,28,4,1,debt_consolidation,FL,Charged Off
17336, 36 months,17.82,625.17,D,D2,Analyst,6 years,MORTGAGE,53383,Not Verified,9.22,0,741,1,7,0,8459,75.4,23,2,0,credit_card,CA,Current
13206, 60 months,9.91,280.0,F,F4,Other,10+ years,RENT,28231,Source Verified,32.98,0,601,2,9,0,9746,83.8,15,0,0,credit_card,NY,Current
9684, 36 months,11.43,319.02,C,C5,Analyst,4 years,OWN,104942,Verified,33.2,0,619,0,8,0,2917,79.3,22,1,0,debt_consolidation,NY,Current
8230, 36 months,23.15,319.22,F,F2,Other,4 years,MORTGAGE,41729,Source Verified,16.57,1,722,0,12,0,4674,20.9,24,1,0,debt_consolidation,CA,Fully Paid
31530, 36 months,24.73,1249.13,E,E1,Teacher,< 1 year,RENT,37805,Verified,26.46,3,763,1,9,0,24594,74.2,24,0,0,car,CA,Current
17211, 36 months,8.44,542.83,F,F2,Sales,< 1 year,RENT,67086,Verified,18.61,0,690,0,8,0,5936,54.8,18,0,0,debt_consolidation,FL,Charged Off
8001, 36 months,17.58,287.57,C,C5,Nurse,1 year,RENT,31809,Verified,13.95,0,645,0,10,0,9466,25.1,16,2,0,debt_consolidation,NY,Fully Paid
15600, 36 months,8.68,493.76,B,B5,Manager,< 1 year,MORTGAGE,86778,Verified,21.24,0,604,5,11,0,9809,21.2,21,1,0,debt_consolidation,NJ,Current
